1,2,3,4,5,6,7
0,0,0,0,0,0,0
0.38,0.073333,0.02,0.06,0.14,0.22,0.34667
0.42949,0.16026,0.083333,0.032051,0.089744,0.16026,0.25
0.43624,0.22148,0.16779,0.10738,0.16107,0.16107,0.24832
0.55782,0.27211,0.12245,0.15646,0.17007,0.16327,0.26531
0.41549,0.16901,0.14789,0.084507,0.077465,0.19014,0.38732
0.72078,0.48701,0.38312,0.37662,0.2987,0.31169,0.42857
0,0,0,0,0,0,0
0.0032468,0.0038694,0.0041212,0.0036417,0.004439,0.0036937,0.0042296
0.0031833,0.0039547,0.0041803,0.0040161,0.0043914,0.0038871,0.0042847
0.0033395,0.0037291,0.0036927,0.0039119,0.0046201,0.0039062,0.0045429
0.0033901,0.0044013,0.0049015,0.0040364,0.0044597,0.0041403,0.0048644
0.0034828,0.0046677,0.0048867,0.004477,0.0053094,0.0043527,0.0047333
0.0029226,0.0042802,0.0049357,0.0045813,0.0050968,0.0048411,0.0050275
