Machine Module,N9343C,CN06050179
+3.857391304e+06,-5.187863922e+01,
+3.889782609e+06,-5.101844025e+01,
+3.922173913e+06,-5.126356506e+01,
+3.954565217e+06,-5.075432205e+01,
+3.986956522e+06,-4.860663986e+01,
+4.019347826e+06,-4.467670441e+01,
+4.051739130e+06,-4.996257019e+01,
+4.084130435e+06,-4.861095047e+01,
+4.116521739e+06,-4.996160126e+01,
+4.148913043e+06,-5.068138123e+01,
+4.181304348e+06,-4.966971588e+01,
+4.213695652e+06,-4.022868729e+01,
+4.246086957e+06,-5.334913635e+01,
+4.278478261e+06,-5.140296936e+01,
+4.310869565e+06,-5.139475250e+01,
+4.343260870e+06,-5.154264069e+01,
+4.375652174e+06,-5.321755981e+01,
+4.408043478e+06,-5.093252182e+01,
+4.440434783e+06,-5.082043839e+01,
+4.472826087e+06,-5.579815674e+01,
+4.505217391e+06,-4.758139038e+01,
+4.537608696e+06,-5.257926178e+01,
+4.570000000e+06,-5.210971069e+01,
+4.602391304e+06,-5.085475540e+01,
+4.634782609e+06,-5.250968933e+01,
+4.667173913e+06,-5.419043732e+01,
+4.699565217e+06,-5.205727386e+01,
+4.731956522e+06,-5.185185242e+01,
+4.764347826e+06,-5.262686539e+01,
+4.796739130e+06,-4.429491043e+01,
+4.829130435e+06,-4.866968536e+01,
+4.861521739e+06,-5.418636322e+01,
+4.893913043e+06,-5.045402527e+01,
+4.926304348e+06,-5.021760178e+01,
+4.958695652e+06,-5.099789047e+01,
+4.991086957e+06,-4.193116379e+01,
+5.023478261e+06,-3.558450699e+01,
+5.055869565e+06,-4.762993622e+01,
+5.088260870e+06,-4.840909958e+01,
+5.120652174e+06,-4.598064804e+01,
+5.153043478e+06,-4.832835007e+01,
+5.185434783e+06,-4.666427994e+01,
+5.217826087e+06,-4.715979004e+01,
+5.250217391e+06,-5.275948715e+01,
+5.282608696e+06,-5.176070786e+01,
+5.315000000e+06,-4.980944443e+01,
+5.347391304e+06,-5.306996155e+01,
+5.379782609e+06,-5.204387665e+01,
+5.412173913e+06,-5.419240570e+01,
+5.444565217e+06,-5.087833405e+01,
+5.476956522e+06,-5.126885986e+01,
+5.509347826e+06,-5.231821823e+01,
+5.541739130e+06,-5.293453979e+01,
+5.574130435e+06,-5.382240295e+01,
+5.606521739e+06,-5.273281860e+01,
+5.638913043e+06,-5.485056686e+01,
+5.671304348e+06,-5.113000107e+01,
+5.703695652e+06,-5.219473648e+01,
+5.736086957e+06,-5.180219650e+01,
+5.768478261e+06,-5.043740845e+01,
+5.800869565e+06,-5.174484253e+01,
+5.833260870e+06,-5.237403107e+01,
+5.865652174e+06,-5.161991119e+01,
+5.898043478e+06,-5.266271591e+01,
+5.930434783e+06,-5.096072388e+01,
+5.962826087e+06,-4.961570740e+01,
+5.995217391e+06,-3.002985573e+01,
+6.027608696e+06,-4.849384308e+01,
+6.060000000e+06,-4.911036682e+01,
+6.092391304e+06,-4.996242523e+01,
+6.124782609e+06,-4.940562439e+01,
+6.157173913e+06,-5.125369263e+01,
+6.189565217e+06,-5.095388031e+01,
+6.221956522e+06,-4.312256622e+01,
+6.254347826e+06,-5.043693542e+01,
+6.286739130e+06,-5.126521301e+01,
+6.319130435e+06,-5.292565155e+01,
+6.351521739e+06,-5.316838074e+01,
+6.383913043e+06,-5.167222595e+01,
+6.416304348e+06,-5.183876038e+01,
+6.448695652e+06,-5.306094360e+01,
+6.481086957e+06,-5.306862640e+01,
+6.513478261e+06,-4.840032196e+01,
+6.545869565e+06,-5.374395752e+01,
+6.578260870e+06,-5.299168396e+01,
+6.610652174e+06,-5.206705093e+01,
+6.643043478e+06,-5.297146606e+01,
+6.675434783e+06,-5.389775085e+01,
+6.707826087e+06,-5.226089478e+01,
+6.740217391e+06,-5.262797546e+01,
+6.772608696e+06,-5.212425232e+01,
+6.805000000e+06,-5.295783615e+01,
+6.837391304e+06,-5.164058304e+01,
+6.869782609e+06,-4.994632721e+01,
+6.902173913e+06,-4.917487335e+01,
+6.934565217e+06,-4.742751312e+01,
+6.966956522e+06,-4.903068542e+01,
+6.999347826e+06,-2.811130524e+01,
+7.031739130e+06,-4.972747040e+01,
+7.064130435e+06,-5.224761200e+01,
+7.096521739e+06,-5.124647141e+01,
+7.128913043e+06,-4.797476959e+01,
+7.161304348e+06,-5.263439178e+01,
+7.193695652e+06,-5.375587082e+01,
+7.226086957e+06,-5.097602463e+01,
+7.258478261e+06,-5.064751434e+01,
+7.290869565e+06,-5.111687088e+01,
+7.323260870e+06,-5.484347916e+01,
+7.355652174e+06,-5.472053909e+01,
+7.388043478e+06,-5.172211075e+01,
+7.420434783e+06,-5.560387039e+01,
+7.452826087e+06,-5.118449020e+01,
+7.485217391e+06,-4.064355850e+01,
+7.517608696e+06,-4.357803726e+01,
+7.550000000e+06,-5.325992584e+01,
+7.582391304e+06,-5.232198334e+01,
+7.614782609e+06,-5.244199753e+01,
+7.647173913e+06,-5.503676224e+01,
+7.679565217e+06,-5.385755920e+01,
+7.711956522e+06,-5.272389221e+01,
+7.744347826e+06,-4.969473267e+01,
+7.776739130e+06,-5.376433945e+01,
+7.809130435e+06,-5.415470123e+01,
+7.841521739e+06,-5.318425751e+01,
+7.873913043e+06,-5.237761307e+01,
+7.906304348e+06,-5.030707169e+01,
+7.938695652e+06,-4.878744888e+01,
+7.971086957e+06,-5.142217255e+01,
+8.003478261e+06,-2.431649017e+01,
+8.035869565e+06,-5.428579712e+01,
+8.068260870e+06,-5.377579498e+01,
+8.100652174e+06,-5.623534012e+01,
+8.133043478e+06,-5.268473816e+01,
+8.165434783e+06,-5.256241989e+01,
+8.197826087e+06,-5.337256241e+01,
+8.230217391e+06,-5.337605286e+01,
+8.262608696e+06,-5.558634567e+01,
+8.295000000e+06,-5.515220261e+01,
+8.327391304e+06,-5.784866714e+01,
+8.359782609e+06,-5.453305817e+01,
+8.392173913e+06,-5.476279831e+01,
+8.424565217e+06,-5.462607574e+01,
+8.456956522e+06,-5.471793365e+01,
+8.489347826e+06,-5.363629532e+01,
+8.521739130e+06,-5.357305527e+01,
