Machine Module,N9343C,CN06050179
+3.857391304e+06,-6.037191391e+01,
+3.889782609e+06,-5.892953110e+01,
+3.922173913e+06,-5.732806396e+01,
+3.954565217e+06,-5.799207306e+01,
+3.986956522e+06,-4.979371643e+01,
+4.019347826e+06,-4.248542786e+01,
+4.051739130e+06,-5.811643219e+01,
+4.084130435e+06,-5.809881592e+01,
+4.116521739e+06,-5.722587967e+01,
+4.148913043e+06,-6.099607468e+01,
+4.181304348e+06,-5.867352295e+01,
+4.213695652e+06,-5.576036072e+01,
+4.246086957e+06,-5.984592056e+01,
+4.278478261e+06,-6.029321671e+01,
+4.310869565e+06,-5.941416931e+01,
+4.343260870e+06,-6.129190063e+01,
+4.375652174e+06,-6.191969681e+01,
+4.408043478e+06,-6.053547287e+01,
+4.440434783e+06,-5.818649292e+01,
+4.472826087e+06,-6.025792694e+01,
+4.505217391e+06,-4.607456970e+01,
+4.537608696e+06,-6.038960266e+01,
+4.570000000e+06,-5.477490234e+01,
+4.602391304e+06,-6.028878021e+01,
+4.634782609e+06,-6.019817734e+01,
+4.667173913e+06,-5.843352890e+01,
+4.699565217e+06,-6.057345581e+01,
+4.731956522e+06,-6.045415497e+01,
+4.764347826e+06,-5.935390854e+01,
+4.796739130e+06,-6.023835373e+01,
+4.829130435e+06,-6.017041779e+01,
+4.861521739e+06,-6.077931213e+01,
+4.893913043e+06,-6.018106461e+01,
+4.926304348e+06,-5.976662827e+01,
+4.958695652e+06,-5.932988739e+01,
+4.991086957e+06,-4.216745377e+01,
+5.023478261e+06,-3.429958725e+01,
+5.055869565e+06,-5.648867416e+01,
+5.088260870e+06,-5.754037476e+01,
+5.120652174e+06,-4.683953857e+01,
+5.153043478e+06,-5.783097458e+01,
+5.185434783e+06,-5.866038132e+01,
+5.217826087e+06,-5.872469330e+01,
+5.250217391e+06,-5.800107574e+01,
+5.282608696e+06,-6.019638443e+01,
+5.315000000e+06,-5.969802475e+01,
+5.347391304e+06,-5.814457703e+01,
+5.379782609e+06,-6.079043579e+01,
+5.412173913e+06,-5.915035629e+01,
+5.444565217e+06,-6.030790329e+01,
+5.476956522e+06,-5.365972519e+01,
+5.509347826e+06,-6.053219604e+01,
+5.541739130e+06,-6.085638809e+01,
+5.574130435e+06,-6.090307236e+01,
+5.606521739e+06,-6.091864777e+01,
+5.638913043e+06,-6.141773987e+01,
+5.671304348e+06,-6.020886612e+01,
+5.703695652e+06,-6.222064590e+01,
+5.736086957e+06,-6.034411621e+01,
+5.768478261e+06,-6.071778107e+01,
+5.800869565e+06,-5.938266373e+01,
+5.833260870e+06,-5.948999405e+01,
+5.865652174e+06,-5.774455261e+01,
+5.898043478e+06,-6.062129974e+01,
+5.930434783e+06,-5.915608597e+01,
+5.962826087e+06,-5.460920334e+01,
+5.995217391e+06,-2.899048042e+01,
+6.027608696e+06,-5.514402771e+01,
+6.060000000e+06,-5.529275894e+01,
+6.092391304e+06,-5.704979324e+01,
+6.124782609e+06,-5.767581177e+01,
+6.157173913e+06,-5.884713745e+01,
+6.189565217e+06,-5.989673996e+01,
+6.221956522e+06,-5.941283035e+01,
+6.254347826e+06,-5.975588989e+01,
+6.286739130e+06,-5.995996094e+01,
+6.319130435e+06,-6.076484299e+01,
+6.351521739e+06,-5.873995590e+01,
+6.383913043e+06,-5.944799042e+01,
+6.416304348e+06,-5.975784302e+01,
+6.448695652e+06,-6.065134048e+01,
+6.481086957e+06,-6.162509537e+01,
+6.513478261e+06,-4.616022873e+01,
+6.545869565e+06,-6.056764221e+01,
+6.578260870e+06,-5.283927917e+01,
+6.610652174e+06,-6.176469803e+01,
+6.643043478e+06,-6.138129425e+01,
+6.675434783e+06,-5.989598083e+01,
+6.707826087e+06,-6.208292389e+01,
+6.740217391e+06,-5.747303772e+01,
