-4,-2.8571,-1.7143,-0.57143,0.57143,1.7143,2.8571,4
0.35764,0.35081,0.21523,0.22945,0.21032,0.26071,0.27083,0.28929
0.70486,0.70565,0.81788,0.82534,0.84524,0.84643,0.81845,0.775
0.64236,0.58468,0.52649,0.44178,0.31349,0.33929,0.4494,0.56786
0.62153,0.60081,0.57947,0.65411,0.73413,0.71786,0.65179,0.61071
0.65625,0.63306,0.63907,0.54452,0.44048,0.41071,0.58036,0.56071
0.57986,0.58468,0.61258,0.61301,0.67063,0.725,0.56845,0.61071
0.63542,0.65726,0.61921,0.55822,0.45635,0.41071,0.5625,0.58929
0.60764,0.5121,0.54636,0.66096,0.69444,0.73214,0.62202,0.63214
0.58681,0.60081,0.5596,0.45548,0.40079,0.31786,0.52679,0.51071
0.71875,0.71371,0.79801,0.83219,0.82143,0.86786,0.8244,0.825
0.28125,0.375,0.21523,0.20205,0.18651,0.19643,0.28869,0.275
0.03993,0.042839,0.033392,0.034749,0.036233,0.037065,0.034258,0.038292
0.037982,0.040894,0.031336,0.031342,0.032103,0.03037,0.029679,0.035237
0.03993,0.044247,0.040632,0.041097,0.041302,0.039999,0.038377,0.041864
0.040408,0.043972,0.040169,0.039351,0.039314,0.038003,0.036744,0.041201
0.039565,0.043269,0.039073,0.041215,0.044224,0.041574,0.038071,0.041943
0.041128,0.044247,0.039637,0.040302,0.041847,0.037703,0.03821,0.041201
0.040098,0.042604,0.039508,0.041097,0.044372,0.041574,0.038271,0.041574
0.040683,0.044888,0.040513,0.039162,0.041008,0.03739,0.037402,0.040744
0.041029,0.043972,0.040397,0.041215,0.043651,0.039332,0.03852,0.042248
0.037436,0.040556,0.032612,0.030843,0.034023,0.028499,0.02929,0.032028
0.037436,0.043464,0.033392,0.033168,0.034611,0.033507,0.034939,0.037703
