0,0.1024,0.2048,0.3072,0.4096,0.512,0.6144,0.7168,0.8192,0.9216,1.024,1.1264,1.2288,1.3312,1.4336,1.536,5.12,5.3248,5.5296,5.7344,5.9392,6.144,6.3488,6.5536,6.7584,6.9632,7.168,7.3728,7.5776,10.24,10.445,10.65,10.854,11.059,11.264,11.469,11.674,11.878,12.083,12.288
0.965,0.87745,0.47642,0.1699,0.14516,0.33482,0.71635,0.9486,0.90187,0.58421,0.29237,0.052381,0.35377,0.59314,0.87766,0.87634,0.71782,0.34536,0.6713,0.75225,0.39247,0.51053,0.75909,0.52604,0.465,0.69907,0.61215,0.41304,0.55941,0.43814,0.60753,0.48095,0.45238,0.43182,0.62121,0.50521,0.40278,0.64904,0.5,0.48611
0.96569,0.86697,0.68396,0.29381,0.12255,0.41589,0.77723,0.96698,0.84951,0.46759,0.24286,0.17568,0.41364,0.76818,0.88947,0.72596,0.36224,0.49519,0.76389,0.48291,0.4604,0.69469,0.55505,0.45909,0.60989,0.65104,0.44286,0.50439,0.68396,0.59314,0.62255,0.43043,0.59709,0.58854,0.53302,0.57921,0.56542,0.5163,0.58019,0.62871
0.99444,0.885,0.53738,0.22059,0.18539,0.41279,0.7381,0.94149,0.89175,0.55,0.27108,0.14904,0.39011,0.79703,0.94828,0.77439,0.39894,0.48851,0.83708,0.4734,0.35567,0.75,0.69712,0.44767,0.60101,0.65385,0.53158,0.54787,0.63333,0.52778,0.57353,0.46471,0.5,0.66146,0.4837,0.58046,0.62941,0.55063,0.5,0.56395
0.97973,0.89205,0.60526,0.27841,0.14024,0.33152,0.61494,0.86184,0.88554,0.57368,0.31977,0.17416,0.25595,0.61047,0.88202,0.85976,0.83333,0.44624,0.37791,0.72989,0.63793,0.40805,0.48824,0.71127,0.49444,0.52841,0.67935,0.60326,0.39881,0.52151,0.3764,0.53797,0.62941,0.51705,0.58,0.61979,0.58523,0.49468,0.61932,0.59868
0.97541,0.81757,0.55625,0.34677,0.19565,0.25735,0.52083,0.72989,0.93284,0.76974,0.45395,0.22289,0.19863,0.375,0.61806,0.79577,0.26875,0.64925,0.78,0.38525,0.28289,0.78472,0.68125,0.38235,0.425,0.73188,0.63816,0.24342,0.55625,0.48592,0.38514,0.51299,0.72105,0.46212,0.34507,0.51923,0.6791,0.34127,0.43333,0.66026
0.98571,0.915,0.57865,0.36916,0.16667,0.24737,0.49029,0.74272,0.92697,0.895,0.56373,0.36598,0.20109,0.25,0.43939,0.6828,0.73611,0.35938,0.27143,0.67204,0.84286,0.33854,0.315,0.68349,0.80108,0.35263,0.22816,0.705,0.86559,0.53646,0.20787,0.54592,0.80693,0.55155,0.39444,0.49405,0.77604,0.67582,0.37946,0.56452
0.97525,0.87895,0.59052,0.33152,0.15196,0.29717,0.67105,0.91146,0.87281,0.54245,0.26842,0.20874,0.42929,0.75463,0.92273,0.82547,0.57921,0.26389,0.75,0.685,0.36726,0.63942,0.71983,0.41429,0.46907,0.63136,0.46759,0.43033,0.62054,0.66216,0.61413,0.56593,0.44712,0.64091,0.59474,0.44286,0.58333,0.60101,0.52273,0.51364
0.97396,0.79444,0.57083,0.215,0.10938,0.31905,0.65789,0.9,0.82143,0.54124,0.21667,0.20283,0.3883,0.80814,0.95513,0.82778,0.40686,0.505,0.7,0.48469,0.36765,0.72159,0.59091,0.46552,0.61735,0.67614,0.48925,0.46842,0.72785,0.64141,0.60309,0.51942,0.67526,0.51923,0.59346,0.51563,0.57368,0.52062,0.59043,0.58247
0.97475,0.91071,0.65426,0.22414,0.15979,0.42632,0.74675,0.86264,0.90341,0.5,0.24157,0.16477,0.34659,0.61236,0.84831,0.91279,0.62644,0.25238,0.60119,0.72353,0.41477,0.39881,0.76705,0.53158,0.32386,0.58642,0.51266,0.52717,0.59877,0.51829,0.63889,0.56452,0.47753,0.56897,0.62632,0.52976,0.57738,0.605,0.53896,0.49375
